x80_percent,x95_percent
1331.605923536603,1394.01096185279
1332.1454500328853,1394.836096423921
1332.6825296591533,1395.6574888302955
1333.2171954077521,1396.4751895293505
1333.7494795362043,1397.2892478547094
1334.279413589921,1398.0997120509157
1334.8070284240189,1398.9066293067983
1335.332354224284,1399.7100457875324
1335.855420527324,1400.5100066654618
1336.3762562399484,1401.3065561497365
1336.894889657809,1402.0997375148218
1337.4113484833397,1402.8895931279337
1337.9256598430222,1403.6761644754465
1338.4378503040125,1404.459492188319
1338.9479458901553,1405.2396160665864
1339.455972097412,1406.016575102958
1339.9619539087334,1406.7904075055587
1340.4659158083932,1407.5611507198546
1340.9678817958156,1408.3288414497972
1341.46787539891,1409.0935156782189
1341.9659196869397,1409.8552086865134
1342.4620372829424,1410.613955073631
1342.9562503757213,1411.3697887744177
1343.4485807314243,1412.1227430773245
1343.9390497047311,1412.8728506415152
1344.4276782496606,1413.6201435133967
1344.9144869300167,1414.3646531425932
1345.3994959294873,1415.106410397391
1345.8827250614086,1415.845445579673
1346.3641937782088,1416.5817884393614
1346.8439211805473,1417.3154681883934
1347.3219260261549,1418.0465135142426
1347.798226738392,1418.7749525930085
1348.2728414145358,1419.5008131020863
1348.7457878338016,1420.2241222324405
1349.2170834651151,1420.944906700487
1349.6867454746414,1421.6631927596104
1350.1547907330805,1422.3790062113194
1350.6212358227385,1423.0923724160623
1351.086097044382,1423.8033163037112
1351.5493904238865,1424.511862383727
1352.0111317186816,1425.2180347550184
1352.4713364240044,1425.9218571155066
1352.9300197789685,1426.6233527714037
1353.3871967724504,1427.3225446462184
1353.842882148805,1428.019455289496
1354.2970904134152,1428.7141068853039
1354.7498358380774,1429.4065212604728
1355.201132466236,1430.0967198925969
1355.650994118065,1430.784723917808
1356.099434395406,1431.4705541383285
1356.5464666865678,1432.1542310298091
1356.9921041709895,1432.8357747484624
1357.4363598237737,1433.5152051379962
1357.879246420096,1434.1925417363548
1358.32077653949,1434.8678037822751
1358.760962570017,1435.5410102216615
1359.1998167123215,1436.21217971379
1359.6373509835762,1436.8813306373404
1360.073577221323,1437.5484810962698
1360.508507087208,1438.2136489255277
1360.9421520706203,1438.8768516966184
1361.374523492233,1439.538106723017
1361.8056325074515,1440.1974310654437
1362.2354901097713,1440.8548415369992
1362.6641071340491,1441.5103547081671
1363.09149425969,1442.163986911688
1363.5176620137518,1442.8157542473068
1363.9426207739693,1443.4656725864
1364.3663807717044,1444.1137575764851
1364.7889520948197,1444.7600246456166
1365.21034469048,1445.4044890066705
1365.6305683678854,1446.0471656615232
1366.0496328009347,1446.6880694051265
1366.4675475308234,1447.3272148294798
1366.8843219685796,1447.9646163275083
1367.2999653975357,1448.6002880968442
1367.7144869757415,1449.2342441435155
1368.1278957383183,1449.866498285548
1368.5402005997566,1450.4970641564787
1368.9514103561598,1451.125955208786
1369.361533687432,1451.7531847172386
1369.7705791594174,1452.3787657821642
1370.1785552259867,1453.0027113326428
1370.5854702310764,1453.6250341296234
1370.991332410679,1454.2457467689699
1371.3961498947886,1454.8648616844355
